Date,Open_x,High_x,Low_x,Close_x,Volume_x,Aramco_Change_pct,Ticker_x,Aramco_Change_pct_lag_1,Aramco_Change_pct_lag_3,Aramco_Change_pct_lag_5,Aramco_Volatility_5,Aramco_Trend_5,Open_y,High_y,Low_y,Close_y,Volume_y,Al_Rajhi_Change_pct,Ticker_y,Al_Rajhi_Change_pct_lag_1,Al_Rajhi_Change_pct_lag_3,Al_Rajhi_Change_pct_lag_5,Al_Rajhi_Volatility_5,Al_Rajhi_Trend_5,Close,Open,High,Low,Volume,TASI_Change_pct,TASI_Change_pct_lag_1,TASI_Change_pct_lag_3,TASI_Change_pct_lag_5,TASI_Volatility_5,TASI_Trend_5
2020-01-09,23.14253537932853,23.614144377587092,23.108848689119363,23.58045768737793,31310879,2.3391665702982234,2222.SR,-0.4366805388946404,-0.1447230416256939,0.1424633898608363,1.4795787832193128,-0.0767956664987901,35.86148582620824,36.2470932006836,35.86148582620824,36.2470932006836,7274385.0,2.3328040766157576,1120.SR,-0.9244991967023442,0.1552938459141284,1.075250973978492,1.6756838053829017,0.011218064960334307,8345.77,8124.11,8345.77,8226.28,183500000.0,2.73,-0.91,0.15,0.46,1.8781426995838202,-0.10800000000000001
2020-01-12,23.58045633407788,23.681514844015627,23.27727924937478,23.445711135864254,24584632,-0.5714331473124834,2222.SR,2.3391665702982234,-0.4347737605833734,-1.706967561688466,1.2334840545507617,0.15031121637640643,36.35727311922535,36.57762022903884,36.13692600941186,36.192012786865234,5825307.0,-0.1519581543088288,1120.SR,2.3328040766157576,0.6201478146719897,-2.12765621569786,1.2147871816298406,0.40635767723814054,8371.13,8345.77,8406.23,8358.88,168530000.0,0.3,2.73,-0.09,-2.42,1.3648369866031622,0.43599999999999994
2020-01-13,23.445715961566837,23.58046118751432,23.37834257114801,23.412029266357425,16978173,-0.1436589801505849,2222.SR,-0.5714331473124834,-0.4366805388946404,-0.1447230416256939,1.2334205170915806,0.15052402867142825,36.13692473207512,36.57761893612481,36.13692473207512,36.30218505859375,7964028.0,0.3044104575706141,1120.SR,-0.1519581543088288,-0.9244991967023442,0.1552938459141284,1.2088987366641952,0.4361809995694377,8441.14,8371.13,8455.24,8370.12,189620000.0,0.84,0.3,-0.91,0.15,1.3635725136566814,0.5740000000000001
2020-01-14,23.412025348273342,23.479398727416992,23.17622163105036,23.479398727416992,12477898,0.2877557527932062,2222.SR,-0.1436589801505849,2.3391665702982234,-0.4347737605833734,1.1892386169718723,0.29502993134674416,36.41235732457724,36.63270441882582,36.30218377745295,36.57761764526367,6696920.0,0.7587217855491657,1120.SR,0.3044104575706141,2.3328040766157576,0.6201478146719897,1.2157397791585234,0.4638957937448729,8474.81,8441.14,8479.35,8419.82,206940000.0,0.4,0.84,2.73,-0.09,1.3208595686143172,0.6719999999999999
2020-01-15,23.445711236949624,23.445711236949624,23.31096603815506,23.378337860107425,12987230,-0.4304235746529605,2222.SR,0.2877557527932062,-0.5714331473124834,-0.4366805388946404,1.188279081232054,0.29628132419508013,36.57761253588127,36.632699301748566,36.35726547241211,36.35726547241211,4955616.0,-0.6024235230095543,1120.SR,0.7587217855491657,-0.1519581543088288,-0.9244991967023442,1.1292411755667418,0.5283109284834309,8432.56,8474.81,8480.85,8432.56,217030000.0,-0.5,0.4,0.3,-0.91,1.2058109304530293,0.7539999999999999
2020-01-16,23.37833448924013,23.37833448924013,23.24358930987416,23.310962677001957,11523975,-0.2881949243296544,2222.SR,-0.4304235746529605,-0.1436589801505849,2.3391665702982234,0.330020973283433,-0.22919097473049543,36.46744283040364,36.57761637369792,36.357269287109375,36.52252960205078,4788548.0,0.4545559944932442,1120.SR,-0.6024235230095543,0.3044104575706141,2.3328040766157576,0.5348886864136849,0.1526613120589282,8459.8,8432.56,8459.8,8423.46,168720000.0,0.32,-0.5,0.84,2.73,0.48427265047698126,0.27199999999999996
2020-01-19,23.31096998642233,23.31096998642233,23.07516468242522,23.14253807067871,13254735,-0.7225124447108544,2222.SR,-0.2881949243296544,0.2877557527932062,-0.5714331473124834,0.37327159966211043,-0.25940683421016963,36.52253214902388,36.7979660264675,36.46744537353516,36.46744537353516,4744201.0,-0.1508225994086953,1120.SR,0.4545559944932442,0.7587217855491657,-0.1519581543088288,0.5347272283010177,0.1528884230389549,8449.29,8459.8,8490.38,8441.55,158060000.0,-0.12,0.32,0.4,0.3,0.5137314473535765,0.188
2020-01-20,23.108844130508185,23.310962677001957,23.04147076338039,23.310962677001957,8756076,0.727770678431483,2222.SR,-0.7225124447108544,-0.4304235746529605,-0.1436589801505849,0.5845020731853551,-0.085120902493756,36.46744409813939,36.63270441882582,36.41235732457724,36.57761764526367,4735395.0,0.302111295705032,1120.SR,-0.1508225994086953,-0.6024235230095543,0.3044104575706141,0.5345653178740183,0.15242859066583847,8469.71,8449.29,8473.5,8437.69,174430000.0,0.24,-0.12,-0.5,0.84,0.37459311259018174,0.068
2020-01-21,23.243596021552687,23.31096940813481,23.14253749656957,23.27728271484375,8517485,-0.1444812152328278,2222.SR,0.727770678431483,-0.2881949243296544,0.2877557527932062,0.5462809674509842,-0.17156829609896285,36.57761765103477,36.57761765103477,36.3021837831806,36.412357330322266,4336481.0,-0.4518072132092654,1120.SR,0.302111295705032,0.4545559944932442,0.7587217855491657,0.4602916720544549,-0.08967720908584777,8445.33,8469.71,8465.72,8431.01,174820000.0,-0.29,0.24,0.32,0.4,0.34785054261852266,-0.06999999999999999
2020-01-22,23.20990562438965,23.243592312304937,23.14253380344889,23.20990562438965,6215751,-0.2894542772861386,2222.SR,-0.1444812152328278,-0.7225124447108544,-0.4304235746529605,0.533059134234165,-0.14337443662559846,36.412357330322266,36.522530877463936,36.35727055675143,36.412357330322266,3964632.0,0.0,1120.SR,-0.4518072132092654,-0.1508225994086953,-0.6024235230095543,0.3605634800637655,0.03080749551606309,8428.21,8445.33,8470.57,8428.21,170020000.0,-0.2,-0.29,-0.12,-0.5,0.27294688127912475,-0.009999999999999998
