Date,Open,High,Low,Close,Volume,Change %,Ticker
2020-01-01,23.748887562925425,23.748887562925425,23.614142368443105,23.647829055786133,8517342,,2222.SR
2020-01-02,23.647833416023328,23.748891941796003,23.614146722469076,23.6815185546875,11430744,0.1424633898608363,2222.SR
2020-01-05,23.580459844683165,23.580459844683165,23.243596021552687,23.27728271484375,25239125,-1.706967561688466,2222.SR
2020-01-06,23.243595123291016,23.277281815280237,22.94041800516805,23.243595123291016,23401835,-0.14472304162569394,2222.SR
2020-01-07,23.209909904042096,23.277283292295582,23.007792849061836,23.14253807067871,13923075,-0.43477376058337347,2222.SR
2020-01-08,22.906733882537058,23.041479110717773,22.906733882537058,23.041479110717773,22150479,-0.4366805388946404,2222.SR
2020-01-09,23.14253537932853,23.614144377587095,23.108848689119363,23.58045768737793,31310879,2.3391665702982234,2222.SR
2020-01-12,23.580456334077876,23.681514844015627,23.27727924937478,23.445711135864258,24584632,-0.5714331473124834,2222.SR
2020-01-13,23.445715961566833,23.580461187514317,23.378342571148014,23.412029266357422,16978173,-0.14365898015058498,2222.SR
2020-01-14,23.412025348273342,23.479398727416992,23.17622163105036,23.479398727416992,12477898,0.2877557527932062,2222.SR
2020-01-15,23.445711236949624,23.445711236949624,23.31096603815506,23.378337860107422,12987230,-0.43042357465296055,2222.SR
2020-01-16,23.37833448924013,23.37833448924013,23.243589309874157,23.310962677001953,11523975,-0.28819492432965443,2222.SR
2020-01-19,23.31096998642233,23.31096998642233,23.07516468242522,23.14253807067871,13254735,-0.7225124447108544,2222.SR
2020-01-20,23.108844130508185,23.310962677001953,23.04147076338039,23.310962677001953,8756076,0.727770678431483,2222.SR
2020-01-21,23.243596021552687,23.31096940813481,23.14253749656957,23.27728271484375,8517485,-0.14448121523282786,2222.SR
2020-01-22,23.20990562438965,23.243592312304937,23.14253380344889,23.20990562438965,6215751,-0.2894542772861386,2222.SR
2020-01-23,23.17622049136418,23.20990562438965,23.075160427618314,23.20990562438965,7192433,0.0,2222.SR
2020-01-26,23.041475191701117,23.142535261815457,22.940416676476694,23.108848571777344,9257143,-0.43540484070779817,2222.SR
2020-01-27,23.07516098022461,23.07516098022461,22.940415780226385,23.07516098022461,8758776,-0.14577788870829833,2222.SR
2020-01-28,23.04147429150259,23.07516098022461,22.940415780226385,23.07516098022461,8813615,0.0,2222.SR
2020-01-29,22.97410326310518,23.17622184753418,22.940416573218698,23.17622184753418,10761242,0.43796386684442634,2222.SR
2020-01-30,23.176221503861296,23.176221503861296,23.007789611816406,23.007789611816406,6889782,-0.7267458726698983,2222.SR
2020-02-02,22.9741034833899,22.9741034833899,22.805671587232396,22.873044967651367,13991469,-0.5856479324543029,2222.SR
2020-02-03,22.805671587232396,22.90673010297093,22.77198489702291,22.873044967651367,10062499,0.0,2222.SR
2020-02-04,22.839358737534567,22.906732123897495,22.738300212880233,22.805673599243164,9112708,-0.29454481685095013,2222.SR
2020-02-05,22.77198365058791,22.873043715684798,22.637238452015232,22.67092514038086,11068032,-0.5908549829757082,2222.SR
